Date,Open
3-May-22,"$38,528.11 "
29-Apr-22,"$39,768.62 "
25-Apr-22,"$39,472.61 "
22-Apr-22,"$40,525.86 "
18-Apr-22,"$39,721.20 "
14-Apr-22,"$41,160.22 "
11-Apr-22,"$42,201.04 "
7-Apr-22,"$43,207.50 "
3-Apr-22,"$45,859.13 "
31-Mar-22,"$47,062.15 "
27-Mar-22,"$44,505.36 "
23-Mar-22,"$42,364.38 "
20-Mar-22,"$42,191.41 "
16-Mar-22,"$39,335.57 "
12-Mar-22,"$38,794.46 "
9-Mar-22,"$38,742.82 "
5-Mar-22,"$39,148.45 "
1-Mar-22,"$43,194.50 "
26-Feb-22,"$39,213.08 "
22-Feb-22,"$37,068.77 "
18-Feb-22,"$40,552.13 "
15-Feb-22,"$42,586.46 "
11-Feb-22,"$43,571.13 "
7-Feb-22,"$42,406.78 "
4-Feb-22,"$37,149.26 "
31-Jan-22,"$37,920.28 "
27-Jan-22,"$36,841.88 "
24-Jan-22,"$36,275.73 "
20-Jan-22,"$41,744.03 "
16-Jan-22,"$43,172.04 "
13-Jan-22,"$43,946.74 "
9-Jan-22,"$41,734.73 "
5-Jan-22,"$45,899.36 "
1-Jan-22,"$46,311.74 "
29-Dec-21,"$47,623.87 "
25-Dec-21,"$50,854.92 "
21-Dec-21,"$46,886.08 "
18-Dec-21,"$46,219.26 "
14-Dec-21,"$46,709.82 "
10-Dec-21,"$47,642.14 "
7-Dec-21,"$50,581.83 "
3-Dec-21,"$56,509.17 "
29-Nov-21,"$57,291.90 "
26-Nov-21,"$58,960.29 "
22-Nov-21,"$58,706.85 "
18-Nov-21,"$60,360.14 "
15-Nov-21,"$65,521.29 "
11-Nov-21,"$64,978.89 "
6-Nov-21,"$61,068.87 "
3-Nov-21,"$63,254.33 "
30-Oct-21,"$62,239.36 "
26-Oct-21,"$63,032.76 "
23-Oct-21,"$60,694.63 "
19-Oct-21,"$62,043.17 "
15-Oct-21,"$57,345.90 "
12-Oct-21,"$57,526.83 "
8-Oct-21,"$53,802.15 "
4-Oct-21,"$48,208.91 "
1-Oct-21,"$43,816.74 "
27-Sep-21,"$43,234.18 "
23-Sep-21,"$43,560.30 "
20-Sep-21,"$47,261.41 "
16-Sep-21,"$48,158.91 "
12-Sep-21,"$45,206.63 "
9-Sep-21,"$45,774.74 "
5-Sep-21,"$49,937.86 "
1-Sep-21,"$47,099.77 "
28-Aug-21,"$49,072.59 "
25-Aug-21,"$47,727.26 "
21-Aug-21,"$49,327.07 "
17-Aug-21,"$45,936.46 "
14-Aug-21,"$47,810.69 "
10-Aug-21,"$46,280.85 "
6-Aug-21,"$40,865.87 "
3-Aug-21,"$39,178.40 "
30-Jul-21,"$40,027.48 "
26-Jul-21,"$35,384.03 "
23-Jul-21,"$32,305.96 "
19-Jul-21,"$31,800.01 "
15-Jul-21,"$32,827.87 "
12-Jul-21,"$34,254.02 "
8-Jul-21,"$33,889.61 "
4-Jul-21,"$34,665.56 "
1-Jul-21,"$35,035.98 "
27-Jun-21,"$32,287.52 "
23-Jun-21,"$32,515.71 "
20-Jun-21,"$35,563.14 "
16-Jun-21,"$40,168.69 "
12-Jun-21,"$37,340.14 "
9-Jun-21,"$33,416.98 "
5-Jun-21,"$36,880.16 "
1-Jun-21,"$37,293.79 "
29-May-21,"$35,684.16 "
25-May-21,"$38,795.78 "
21-May-21,"$40,596.95 "
18-May-21,"$43,488.06 "
14-May-21,"$49,682.98 "
10-May-21,"$58,250.87 "
7-May-21,"$56,413.95 "
